posx,posy,posz,tick,turn
42.0,0.7511,162.0,1,1
42.0,0.7511,162.0,1,2
42.0,0.7511,162.0,1,3
42.0,0.7511,162.0,1,4
42.0,0.7511,162.0,1,5
42.0,0.7511,162.0,1,6
42.0,0.7511,162.0,1,7
42.0,0.7511,162.0,1,8
42.1581,0.7511,161.52568,1,9
42.18088,0.75110006,162.52538,1,10
42.205936,0.75110006,163.62503,1,11
42.228714,0.75110006,164.62473,1,12
42.23327,0.7511,164.82466,1,13
42.23327,0.7511,164.82466,1,14
42.23327,0.7511,164.82466,1,15
42.23327,0.7511,164.82466,1,16
42.23327,0.7511,164.82466,1,17
42.23327,0.7511,164.82466,1,18
42.23327,0.7511,164.82466,1,19
42.23327,0.7511,164.82466,1,20
42.23327,0.7511,164.82466,1,21
42.269085,0.7511,164.91801,1,22
43.189056,0.75110006,164.52617,1,23
43.833035,0.7511,164.25186,1,24
43.833035,0.7511,164.25186,1,25
43.833035,0.7511,164.25186,1,26
43.833035,0.7511,164.25186,1,27
43.833035,0.7511,164.25186,1,28
43.833035,0.7511,164.25186,1,29
43.833035,0.7511,164.25186,1,30
43.833035,0.7511,164.25186,1,31
43.833035,0.7511,164.25186,1,32
43.833035,0.7511,164.25186,1,33
43.833035,0.7511,164.25186,1,34
44.56901,0.75110006,163.93837,1,35
45.53263,0.7511001,163.67128,1,36
46.59261,0.7511001,163.37747,1,37
47.58648,0.75110006,163.4876,1,38
48.160698,0.7511,163.66148,1,39
48.990734,0.75110006,164.2191,1,40
49.07374,0.7511,164.27486,1,41
49.07374,0.7511,164.27486,1,42
49.07374,0.7511,164.27486,1,43
49.07374,0.7511,164.27486,1,44
49.07374,0.7511,164.27486,1,45
49.07374,0.7511,164.27486,1,46
49.07374,0.7511,164.27486,1,47
49.07374,0.7511,164.27486,1,48
49.017975,0.7511,164.35786,1,49
49.017975,0.7511,164.35786,1,50
48.600723,0.7511,163.92674,1,51
48.38681,0.7511,163.80788,1,52
47.43102,0.75110006,163.514,1,53
46.33942,0.75110006,163.64925,1,54
45.347057,0.75110006,163.7722,1,55
44.4297,0.7511001,164.17014,1,56
43.4206,0.7511001,164.60786,1,57
42.503246,0.75110006,165.0058,1,58
42.503246,0.7511,165.0058,1,59
42.503246,0.7511,165.0058,1,60
42.503246,0.7511,165.0058,1,61
42.503246,0.7511,165.0058,1,62
42.503246,0.7511,165.0058,1,63
42.503246,0.7511,165.0058,1,64
42.503246,0.7511,165.0058,1,65
42.503246,0.7511,165.0058,1,66
42.503246,0.7511,165.0058,1,67
42.503246,0.7511,165.0058,1,68
42.503246,0.7511,165.0058,1,69
42.503246,0.7511,165.0058,1,70
42.503246,0.7511,165.0058,1,71
42.503246,0.7511,165.0058,1,72
42.503246,0.7511,165.0058,1,73
42.548504,0.7511,165.09497,1,74
43.421932,0.75110006,164.60812,1,75
44.29536,0.7511001,164.12126,1,76
45.33822,0.75110006,163.7778,1,77
46.29246,0.7511001,163.47894,1,78
47.291546,0.75110006,163.52052,1,79
47.990906,0.7511,163.54964,1,80
47.990906,0.7511,163.54964,1,81
47.990906,0.7511,163.54964,1,82
47.990906,0.7511,163.54964,1,83
47.990906,0.7511,163.54964,1,84
47.990906,0.7511,163.54964,1,85
47.990906,0.7511,163.54964,1,86
47.990906,0.7511,163.54964,1,87
47.990906,0.7511,163.54964,1,88
47.990906,0.7511,163.54964,1,89
48.03146,0.7511,163.45822,1,90
48.24566,0.75110006,163.70097,1,91
49.10724,0.75110006,163.82,1,92
49.670498,0.7511,163.82,1,93
50.640827,0.75110006,163.82,1,94
51.610916,0.75110006,163.82,1,95
52.349613,0.7511,163.82,1,96
52.349613,0.7511,163.82,1,97
52.349613,0.7511,163.82,1,98
52.349613,0.7511,163.82,1,99
52.349613,0.7511,163.82,1,100
52.349613,0.7511,163.82,1,101
52.349613,0.7511,163.82,1,102
52.349613,0.7511,163.82,1,103
52.052353,0.7511,163.86035,1,104
53.020237,0.75110006,163.82,1,105
53.961365,0.75110006,163.81999,1,106
54.873085,0.7511,163.81999,1,107
55.784508,0.75110006,163.82,1,108
56.75332,0.75110006,163.82,1,109
57.317875,0.7511,163.82002,1,110
57.317875,0.7511,163.82002,1,111
57.317875,0.7511,163.82002,1,112
57.317875,0.7511,163.82002,1,113
57.317875,0.7511,163.82002,1,114
57.317875,0.7511,163.82002,1,115
57.317875,0.7511,163.82002,1,116
57.317875,0.7511,163.82002,1,117
57.317875,0.7511,163.82002,1,118
57.317875,0.7511,163.82002,1,119
57.320312,0.7511,163.91998,1,120
58.418606,0.75110006,163.85971,1,121
59.416985,0.75110006,163.81999,1,122
60.32196,0.75110006,163.82,1,123
60.32196,0.7511,163.82,1,124
60.32196,0.7511,163.82,1,125
60.32196,0.7511,163.82,1,126
60.32196,0.7511,163.82,1,127
60.32196,0.7511,163.82,1,128
60.32196,0.7511,163.82,1,129
60.32196,0.7511,163.82,1,130
60.32196,0.7511,163.82,1,131
60.32196,0.7511,163.82,1,132
60.32196,0.7511,163.82,1,133
60.32196,0.7511,163.82,1,134
60.371326,0.7511,163.90697,1,135
61.010826,0.75110006,163.49522,1,136
61.50991,0.7511,163.52505,1,137
62.289364,0.75110006,162.74895,1,138
63.142338,0.7511001,162.22708,1,139
