posx,posy,posz,tick,turn
42.0,0.7511,162.0,1,1
42.0,0.7511,162.0,1,2
42.0,0.7511,162.0,1,3
42.0,0.7511,162.0,1,4
42.0,0.7511,162.0,1,5
42.0,0.7511,162.0,1,6
42.0,0.7511,162.0,1,7
42.0,0.7511,162.0,1,8
42.1581,0.7511,161.52568,1,9
42.18088,0.75110006,162.52538,1,10
42.205936,0.75110006,163.62503,1,11
42.228714,0.75110006,164.62473,1,12
42.23327,0.7511,164.82466,1,13
42.23327,0.7511,164.82466,1,14
42.23327,0.7511,164.82466,1,15
42.23327,0.7511,164.82466,1,16
42.23327,0.7511,164.82466,1,17
42.23327,0.7511,164.82466,1,18
42.23327,0.7511,164.82466,1,19
42.23327,0.7511,164.82466,1,20
42.23327,0.7511,164.82466,1,21
42.197453,0.7511,164.7313,1,22
43.238064,0.75110006,164.37491,1,23
43.805668,0.7511,164.18053,1,24
43.805668,0.7511,164.18053,1,25
43.805668,0.7511,164.18053,1,26
43.805668,0.7511,164.18053,1,27
43.805668,0.7511,164.18053,1,28
43.805668,0.7511,164.18053,1,29
43.805668,0.7511,164.18053,1,30
43.805668,0.7511,164.18053,1,31
43.805668,0.7511,164.18053,1,32
43.805668,0.7511,164.18053,1,33
43.805668,0.7511,164.18053,1,34
44.562473,0.75110006,163.92133,1,35
45.528156,0.7511001,163.6618,1,36
46.59041,0.7511001,163.37633,1,37
47.584217,0.75110006,163.48698,1,38
48.158447,0.7511,163.66083,1,39
48.98878,0.75110006,164.218,1,40
49.071815,0.7511,164.27371,1,41
49.071815,0.7511,164.27371,1,42
49.071815,0.7511,164.27371,1,43
49.071815,0.7511,164.27371,1,44
49.071815,0.7511,164.27371,1,45
49.071815,0.7511,164.27371,1,46
49.071815,0.7511,164.27371,1,47
49.071815,0.7511,164.27371,1,48
49.016098,0.7511,164.35675,1,49
49.016098,0.7511,164.35675,1,50
48.599136,0.7511,163.92535,1,51
48.38518,0.7511,163.80728,1,52
47.429375,0.75110006,163.51346,1,53
46.344334,0.75110006,163.62856,1,54
45.353626,0.75110006,163.76419,1,55
44.436825,0.7511001,164.1634,1,56
43.42834,0.7511001,164.60254,1,57
42.511536,0.75110006,165.00175,1,58
42.511536,0.7511,165.00175,1,59
42.511536,0.7511,165.00175,1,60
42.511536,0.7511,165.00175,1,61
42.511536,0.7511,165.00175,1,62
42.511536,0.7511,165.00175,1,63
42.511536,0.7511,165.00175,1,64
42.511536,0.7511,165.00175,1,65
42.511536,0.7511,165.00175,1,66
42.511536,0.7511,165.00175,1,67
42.511536,0.7511,165.00175,1,68
42.511536,0.7511,165.00175,1,69
42.511536,0.7511,165.00175,1,70
42.511536,0.7511,165.00175,1,71
42.511536,0.7511,165.00175,1,72
42.511536,0.7511,165.00175,1,73
42.46627,0.7511,164.9126,1,74
43.37485,0.75110006,164.495,1,75
44.28343,0.7511001,164.07741,1,76
45.333874,0.75110006,163.75443,1,77
46.29262,0.7511001,163.47034,1,78
47.391403,0.7511,163.52092,1,79
47.990738,0.7511,163.54852,1,80
47.990738,0.7511,163.54852,1,81
47.990738,0.7511,163.54852,1,82
47.990738,0.7511,163.54852,1,83
47.990738,0.7511,163.54852,1,84
47.990738,0.7511,163.54852,1,85
47.990738,0.7511,163.54852,1,86
47.990738,0.7511,163.54852,1,87
47.990738,0.7511,163.54852,1,88
47.990738,0.7511,163.54852,1,89
48.031475,0.7511,163.4572,1,90
48.24325,0.75110006,163.69772,1,91
49.129463,0.75110006,163.82002,1,92
50.14127,0.7511,163.82,1,93
51.111507,0.75110006,163.81999,1,94
52.022892,0.75110006,163.82,1,95
52.85987,0.7511,163.82,1,96
52.85987,0.7511,163.82,1,97
52.85987,0.7511,163.82,1,98
52.85987,0.7511,163.82,1,99
52.85987,0.7511,163.82,1,100
52.85987,0.7511,163.82,1,101
52.85987,0.7511,163.82,1,102
52.85987,0.7511,163.82,1,103
53.522877,0.7511,163.82,1,104
54.463936,0.75110006,163.82,1,105
55.346264,0.7511,163.82,1,106
56.22814,0.7511,163.82,1,107
57.19407,0.75110006,163.82,1,108
58.15938,0.75110006,164.0809,1,109
59.202496,0.75110006,164.4293,1,110
59.67579,0.7511,164.59045,1,111
59.67579,0.7511,164.59045,1,112
59.67579,0.7511,164.59045,1,113
59.67579,0.7511,164.59045,1,114
59.67579,0.7511,164.59045,1,115
59.67579,0.7511,164.59045,1,116
59.67579,0.7511,164.59045,1,117
59.67579,0.7511,164.59045,1,118
59.643555,0.7511,164.68512,1,119
59.643555,0.7511,164.68512,1,120
60.354828,0.75110006,163.98227,1,121
60.646805,0.7511,163.79391,1,122
61.03213,0.7511,163.47533,1,123
61.530144,0.7511,163.51956,1,124
62.304646,0.75110006,162.73853,1,125
63.157833,0.7511001,162.21701,1,126
63.755062,0.7511,161.85196,1,127
64.01102,0.7511,161.69551,1,128
64.09381,0.7511,161.51346,1,129
63.86186,0.7511,160.85304,1,130
63.979973,0.75109994,160.36993,1,131
63.979973,0.75109994,160.36993,1,132
63.979973,0.75109994,160.36993,1,133
63.979973,0.75109994,160.36993,1,134
63.979973,0.75109994,160.36993,1,135
63.979973,0.75109994,160.36993,1,136
63.979973,0.75109994,160.36993,1,137
63.979973,0.75109994,160.36993,1,138
